Source,Target,Type,Id,Label
0,15,Undirected,d7b79db7-d60a-445b-b392-6b3c23fa2093,1500.0
0,19,Undirected,d87f5129-6bbb-4b71-ab81-19c3ab85ce4b,0.0
1,3,Undirected,3b58ec8a-c79f-4107-b4d4-ea1cfed38def,300.0
1,6,Undirected,cfb188cc-c86a-4b0e-b52e-ccc485aa01fc,3000.0
1,12,Undirected,cec79fe3-c84b-4bfb-aa31-9546cf2300f3,3000.0
2,9,Undirected,c22a1264-c2ac-481f-b254-bf9ee498830d,3600.0
2,10,Undirected,6d56600f-ac0a-4971-a832-76faa48ca32d,600.0
2,13,Undirected,ef692d13-4cd6-49b5-beaf-9327035e9c89,3000.0
2,18,Undirected,7e584de7-aadc-4345-861c-6b6e5dc3bd16,3000.0
3,1,Undirected,f5242f60-03a3-42b8-b523-da80f6e21518,300.0
3,6,Undirected,cac0f49a-d604-4e0f-99df-6c5c601bbbf2,3300.0
3,12,Undirected,10df674e-4d65-4afd-b6f0-de3e36a2b293,3300.0
4,7,Undirected,21858d18-59ff-48b9-b910-6a569c7e9f52,2100.0
4,22,Undirected,c566bf97-b9fd-4f56-bf63-f613fd2c7569,1500.0
5,15,Undirected,2987edfc-c272-452c-819b-98fcd8756568,3000.0
6,1,Undirected,7892bf3f-f148-41c5-a6ed-8536d9b3dcec,3000.0
6,3,Undirected,ba3fb56f-6df3-4e5f-b914-510f3fac98aa,3300.0
6,12,Undirected,f4c5d46c-6553-4bc0-958e-077b687aacb8,0.0
7,4,Undirected,5e0bf385-2fa7-42ac-bd80-377b30124883,2100.0
7,22,Undirected,aeaca2a2-d997-4517-b1ba-71d13b6f1202,600.0
8,14,Undirected,ca73aec9-3487-4ceb-aacb-447452e785f4,300.0
8,17,Undirected,6b75c3b8-e882-4277-8208-2adc9f882f97,0.0
8,20,Undirected,47ffb200-ce6f-4014-ae5d-795d75c59b0e,2700.0
8,21,Undirected,b634b755-4b07-4d0b-8d45-9dbf4ce0e06f,0.0
8,23,Undirected,bd035510-b90b-4f1f-93aa-c9f2bcfef1e9,900.0
9,2,Undirected,33678ffe-8408-4318-a85b-a6ebdd1e3b79,3600.0
9,10,Undirected,0a527962-68c8-48d2-9a46-5cd56c45f3a6,3000.0
9,13,Undirected,d6802e64-8344-4a1e-a6f0-a51d7e948781,600.0
10,2,Undirected,b7811060-b83a-4130-8844-72aec16fb0d1,600.0
10,9,Undirected,16d5b076-54a0-4531-8f27-9eda50836cde,3000.0
10,13,Undirected,57be2be8-26ee-4b28-94ca-0ed7ff389a32,2400.0
10,18,Undirected,3122707a-c60a-4868-999d-bacd0710e8d8,3600.0
12,1,Undirected,d92cbe4a-5cff-4b60-a2d6-d81b3a3ab32f,3000.0
12,3,Undirected,6399c17c-8ec0-4a7d-8d88-5f604cf612c0,3300.0
12,6,Undirected,a2734379-6f18-46f6-8b3f-b151e67d0adb,0.0
13,2,Undirected,1c492dba-10fe-4ea0-a373-c0f035a4a62a,3000.0
13,9,Undirected,03b5c106-8501-4a20-98b4-9edad3c3350c,600.0
13,10,Undirected,071d0f69-769a-4469-9b4d-ae51631af296,2400.0
14,8,Undirected,f83600a5-a787-4458-a861-33893599d48d,300.0
14,17,Undirected,08bd4ad9-1c1d-467c-af2a-d9a16b6ad3fd,300.0
14,20,Undirected,3b2945cf-c9dc-44ef-8bd7-2fb585590839,2400.0
14,21,Undirected,237a9072-e84c-4a8b-a7ed-79d9e8493e71,300.0
14,23,Undirected,aaf24598-4b8e-45ac-8789-b6c8eb096d5c,600.0
15,0,Undirected,83146efe-1f92-4ce6-9d0f-ee55321aee77,1500.0
15,5,Undirected,55be9e94-dfb9-40a2-89c8-01991c4690e9,3000.0
15,19,Undirected,cf300562-671a-4111-a7ac-f9e4c14ffe5d,1500.0
17,8,Undirected,3be79a63-abf0-40a5-89e5-2e4f2c5f6e30,0.0
17,14,Undirected,da704381-37d8-4263-9294-91d1ec0640d7,300.0
17,20,Undirected,fc90f965-5d18-44d3-b094-c3d540c4ef13,2700.0
17,21,Undirected,e379f7f3-44fe-45a2-846f-ae4f3c6b5997,0.0
17,23,Undirected,4bf87082-41b2-4e39-92ec-b6eac56951fb,900.0
18,2,Undirected,87e68a3a-6249-456e-9a80-1c6eb75bbf5b,3000.0
18,10,Undirected,c1dacc07-ede1-4b98-9390-549f5f3fb22c,3600.0
18,20,Undirected,459c72a8-012b-448b-aea3-c1edc5ec0e24,1800.0
18,23,Undirected,2050dd1f-049b-4a09-acd8-f3e982b14362,3600.0
19,0,Undirected,d932a981-0f8e-4ae1-a3c2-a0ddb891b963,0.0
19,15,Undirected,bbfead4f-0c8a-4f0f-ac60-d4e44b219460,1500.0
20,8,Undirected,ad2cde02-2801-4841-96a2-c0094651c542,2700.0
20,14,Undirected,b44a7788-a0a1-4616-b5d3-6c0b59c12b65,2400.0
20,17,Undirected,49c08803-2e94-41fb-8d19-6b161c4d6325,2700.0
20,18,Undirected,383878a7-b1ed-4124-8c94-461c449d63e0,1800.0
20,21,Undirected,60e520cb-d1c6-46ad-8845-56365dbbce62,2700.0
20,23,Undirected,d0be9cc4-9b97-4b27-b467-18c765b9b8a1,1800.0
21,8,Undirected,4214add5-03a3-4c40-b966-73dd6be60cb0,0.0
21,14,Undirected,048c35bc-12bd-4f13-8114-4c2b30f22aab,300.0
21,17,Undirected,d223bd02-9775-47d7-9b9a-4f4605f56edb,0.0
21,20,Undirected,a5870eb4-9163-44de-b876-f1b32bf68f5a,2700.0
21,23,Undirected,160e85e6-419b-4ab9-8405-ca0c6b41fa19,900.0
22,4,Undirected,6da55d47-6ff8-41d0-9a0b-19dca151c73d,1500.0
22,7,Undirected,03cc05d7-64d0-4376-a210-594de8295d29,600.0
23,8,Undirected,f091c06f-1537-427a-a800-fe621046b693,900.0
23,14,Undirected,57fd2156-cb52-4b47-b48e-bfc46d98a283,600.0
23,17,Undirected,063dad64-7c52-47dc-ac2a-919235249f8e,900.0
23,18,Undirected,f63ce958-5998-4d23-9108-b5e31577b926,3600.0
23,20,Undirected,5402fd1a-b38e-4d83-b59d-12d65e0546ea,1800.0
23,21,Undirected,b9431bc7-6eb9-4a87-b0d8-fd4fdf0d6c46,900.0
